
42,Sr DevOps Engineer,DISPATCH TRACK SOFTWARE PRIVATE LIMITED,8,13,NA,NA,"Nginx,Docker,Kubernetes","1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0"
43,DevOps Engineer - Docker/Kubernetes,VoiceTree Technologies,4,7,NA,NA,"Configuration Management,Jenkins,DevOps,Cloud Computing,Docker,CI/CD Pipeline,Microservices Architecture,Troubleshooting","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1"
44,Senior Software Engineer- AWS Devops Engineer,CGI Information Systems and Management Consultants    Private Limited,5,8,NA,NA,"IT Skills,Software Development,Testing,Unix,Maven,SVN, testing,Devops","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
45,Senior Software Engineer- AWS Devops Engineer,CGI Information Systems and Management Consultants    Private Limited,5,8,NA,NA,"IT Skills,Software Development,Testing,Unix,Maven,Software Development,GIT,Linux","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
46,Sr. Mobile Engineer (DevOps Engineer),Cubic Transportation Systems India Pvt. Ltd.,5,8,NA,NA,"IT Skills,Cloud,Jenkins,AWS,Azure,Unix,Cd,Open Source","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0"
47,Senior Software Engineer- AWS Devops Engineer,CGI Information Systems and Management Consultants,5,8,NA,NA,"IT Skills,Software Development,Testing,Unix,Maven,Front end,Linux,RDBMS","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
48,Senior DevOps Engineer,Prokarma Softech Pvt. Ltd.,6,11,NA,NA,"IT Skills,Python,Cloud,DevOps,AWS,Computer science,Shell scripting,Infrastructure","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
49,Senior DevOps Engineer,Connexus Secure India Private Limited,5,10,10.0,20.0,"Jenkins,Docker,AWS,Maven,GIT,Linux,CI,Bash","1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0"
50,Devops Engineer,FUSIONSPAN INDIA PRIVATE LIMITED,3,5,NA,NA,"IT Skills,Software Development,DevOps,Jenkins,AWS,Jenkins,Docker and Kubernetes,API gateways","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0"
51,Devops Engineer,Eclature Technologies,3,5,NA,NA,"Maven,Automation,GIT,Shell scripting,Disaster recovery,Javascript,Agile,HTML","0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0"
52,DevOps Engineer - Docker/Kubernetes,Staffio HR,2,5,NA,NA,"Docker Swarm,GitHub,Chef,GoCD,DC/OS,Devops,Jenkins,Docker","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0"
53,Staff Devops Engineer,Bion,4,9,NA,NA,"IT Skills,Cloud,AWS,CI / CD,Jenkins,Azure,Configuration,Linux","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
54,Senior Devops Engineer,Apttus Software Private Limited,5,8,12.0,22.0,"Docker,AWS,Kubernetes,Azure,Prometheus,ELK Stack,Grafana,Jenkins","0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0"
55,Senior DevOps Engineer,Vignet IT Solutions Pvt. Ltd.,6,11,NA,NA,"Devops,AWS,Kubernetes,IT Skills,Java,DevOps,Jenkins,AWS","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0"
56,Senior Devops Engineer (Night Shift ) with Germany Based MNC- ITyX,ITyX India Pvt. Ltd.,5,9,NA,NA,"IT Skills,Java,Cloud,Jenkins,kubernetes,nginx,eureka,linux","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0"
57,AWS Devops Engineer | Rackspace # 1 Cloud Company,Rackspace,9,14,NA,NA,"IT Skills,Java,Python,Software Development,Testing,Cloud,DevOps,AWS","1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0"
