56,Blockchain Developer,SequoiaAT India Private Limited,2,5,NA,NA,"Wireless,GIT,Networking,Staffing,Social networking,Javascript,Manager Technology,Customer service",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,Blockchain Developer,Augusta Hitech Soft Solutions,2,7,NA,NA,"development,code,Architecture,technical,software,Linux troubleshooting,mobile,Windows",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,Blockchain Developer,Toshblocks,1,5,NA,NA,"C++,development,software,EOS,Data structures,Computer science,Algorithms,Wordpress",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Blockchain Developers,Blockchainapp Factory,2,5,NA,NA,"SAN,algorithms,C++,development,c,code,technical,Cook",0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Blockchain Developer,Secninjaz,5,10,NA,NA,"C++,jQuery,Linux,Networking,Solaris,RDBMS,XML,PHP",1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
61,Blockchain Architect - Deploying System,3D India Staffing Research  Consulting Pvt Ltd,3,6,NA,NA,"Architect,Software Development,BlockChain,Javascript,Agile,SDLC",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,Blockchain Developer Shiftu Technology,Shiftu Technology Pvt.Ltd,2,5,NA,NA,"Computer science,Mining,Backend,Coding,Wordpress,SCALA,Manager Technology,HTML",1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Blockchain Developer,Silicon IT Hub Pvt. Ltd,1,3,NA,NA,"Basic,SIDE,C++,Networking,Javascript,Data structures,Research,Open source",0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,BLOCKCHAIN DEVELOPER,Cilans System,5,10,NA,NA,"Front end,Coding,html5,Front end design,Cloud,Technical architecture,Management,Middleware",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
65,Blockchain Expert,Oakbells Private Limited,1,5,NA,NA,"algorithms,C++,Javascript",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,Immediate Opening For Blockchain Developer @ EMIS Health India Pvt Ltd,Emis Health India Private Limited,5,7,NA,NA,"Hyperledger,Blockchain,AWS",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Blockchain Developer - Hyperledger,Careerera,2,4,NA,NA,"Networking,Programming,Customer support,HR,network architecture,Monitoring,Software services",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,Blockchain Developer,Global Talent Pool,3,6,NA,NA,"Computer science,data security,Financial analysis,Programming,Manager Technology,Data structures,Mathematics,Research",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,BLOCKCHAIN DEVELOPER,Blocklogy Edutech Private Limited,1,6,NA,NA,"E-learning,Front end,Version control,GIT,Networking,Javascript,Deployment,test driven development",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,UX Designer Blockchain Startup Decentralized Vision,CareerXperts Consulting,4,9,NA,NA,"QA,adobe creative suite,Illustration,SAAS,Consulting,product life cycle,Product design,Research",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
71,Blockchain Developer,Connecting 2 Work,2,6,NA,NA,"SIDE,C++,Javascript,Data structures,Research,Open source,Cryptography,Testing",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,BLOCKCHAIN DEVELOPER (CORDA),MJ Softtech India Pvt. Ltd.,3,8,NA,NA,"MS SQL,Linux,Networking,Coding,Postgresql,Agile,Telecommunication,Application development",0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Blockchain Developer,Calibraint Technologies,1,3,NA,NA,"IT Skills,Java,Software Development,Selenium,Automation Testing,Javascript,Product quality,SIDE",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
74,Blockchain Developer,OpenCubicles Technologies Pvt Ltd,1,3,NA,NA,"Coding,Testing tools",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Blockchain JAVA Developer,HuQuo Consulting Pvt. Ltd.,3,8,NA,NA,"Java EE,IntelliJ,Maven,Hibernate,Tomcat,JUnit,Couchdb,Spring Boot",0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
76,Java Developer - Blockchain Technologies,Huquo Consulting Pvt. Ltd,2,7,NA,NA,"Java,IBM Websphere,Hibernate,Tomcat,JBoss,Blockchain,J2EE,Spring Boot",0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
77,Java Developer - Blockchain Technologies,Huquo Consulting Pvt. Ltd,2,7,NA,NA,"Java EE,IntelliJ,Maven,IBM Websphere,Hibernate,Tomcat,JBoss,Spring Boot",0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
78,Research & Development Manager - Blockchain Technologies,Career Maker,4,9,NA,NA,"Golang,R&D,Java,Cloud Computing,NoSQL,Hyperledger,Blockchain,Research & Development Manager",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,Blockchain Developer - Cryptography,S.A.W IT Services Pvt Ltd,2,5,NA,NA,"Blockchain,Cryptography,Algorithm,Data Structure",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Java Developer - Blockchain/j2ee,Huquo Consulting Pvt. Ltd,3,8,NA,NA,"Java,Design Patterns,RDBMS,OOAD,Blockchain,R3 Corda,J2EE,NoSQL.Ethereum",0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
81,Technical Lead - Java/blockchain Technologies,Huquo Consulting Pvt. Ltd,8,12,NA,NA,"Java,Hibernate,BDD,JBOSS,Blockchain,Agile,Javascript,J2EE",0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
82,Blockchain Developer - Hyperledger,Spectrum Consulting,4,7,NA,NA,"Emerging Technologies,NoSQL,Hyperledger,Blockchain,Google Cloud Platform,Blockchain Architect,AWS,Emerging Cloud Technologies",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
83,Java Developer - Blockchain/J2EE,Huquo Consulting Pvt. Ltd,3,8,NA,NA,"Java,IBM Websphere,Java development,Software Development,Tomcat,JBoss,Relational Databases,Continuous Integration",0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
84,Blockchain Developer,Happyhat Solution Pvt. Ltd,2,7,NA,NA,"C++,Algorithms,NoSQL,RDBMS,Data Structures,Web Technologies,Blockchain,Javascript",0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,Blockchain Developers,Clustrex,0,3,NA,NA,"Developer,developing",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
