,,,,,,,,Python,Java,JavaScript,C,Ruby,Shell,C++,C#,.NET,HTML,NodeJS,AngularJS,SDK,GIT,SCM,Kubernetes,Serverless,IaaC,Microservices,Docker,Ensemble,Safe,Puppet,CICD,Lambda,SQS,SQL,NoSQL,DynamoDB,AWS,GCP,Azure,ELK,EKS,NIST,CIS,ISO 27001,GDPR,CIS v7,CEH,CISSP,CISA,CISM,CompTIA Security+
43,Immediate openings For fresher - networking/Cyber security/patch,SAIS Staffing Solutions Pvt Ltd,0,1,0.5,1.25,"2019,2018,Installation,2017,Networking,Ceh,Maintenance,CCNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Senior Cyber Security Engineer,Infoblox,7,8,NA,NA,"IT Skills,Java,Python,Testing,Cloud,Javascript,Computer science,cyber security",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Cyber Security - Engineer II,FICO,3,6,NA,NA,"BPO,auditing,Computer science,Cism,remediation,Cisa,Information security,ISO 27001",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
46,Pre-sales/ Sales Consultant - Cybersecurity ( Kerala ),ECS Bixtech ltd,5,10,5,15,"Cloud Security,Cyber security solutions,Cyber Security,IAAM,Presales,Alliances,Endpoint Security,Data Center",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Cyber Security Analyst,Aadi Imports Pvt. Ltd.,3,4,NA,NA,"ISMS,Information security,Network security,Tools,Security testing,CISA,Monitoring,Vulnerability assessment",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
48,CYBER SECURITY ANALYST,VTalentGlobal,3,6,NA,NA,"Symantec,malware analysis,cyber security analyst,Infrastructure management,Security systems,SIEM,Infrastructure,splunk",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Security Specialist-Vormetric Key Management,Cognizant Technology Solutions India Ltd,3,8,NA,NA,"IT Skills,Cloud,Oracle,MS SQL,Identity Access Management,Cyber Security,Ceh,Network Security",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
50,Cyber Security Lead,FICO,3,5,NA,NA,"Computer science,Cism,remediation,Cisa,Information security,ISO 27001,Anti money laundering,Machine learning",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
51,Excellent Opportunity For Security Engineer Role with Fiserv (Thane),Fiserv,8,12,NA,NA,"iso 27001,compliance,pci dss,it security,fraud security,cyber security,key management life cycle,information security",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,Assistant Manager - Cyber Security and Privacy,Protiviti India Member Private limited,4,8,NA,NA,"Information Security Management,Cyber Security,Risk Assessment,Management Consulting,Client Relationship Management,Practice Management,Network Security,International Business",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0
